Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Size Left X [px],Pupil Size Left Y [px],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,groupe d'enfants
9598,6127761.088,14:28:29:000,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vnvg151201b1.avi,,,,,,,,,,,,,,,,
9599,6127765.312,14:28:29:004,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.3972,4.0898,674.8692,158.2702,674.8692,158.2702,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9600,6127785.192,14:28:29:024,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.4331,4.0254,683.8788,147.4093,683.8788,147.4093,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9601,6127805.063,14:28:29:044,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.4046,4.0647,681.4956,166.4760,681.4956,166.4760,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9602,6127824.978,14:28:29:064,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.3517,3.9592,688.8231,149.6819,688.8231,149.6819,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9603,6127844.806,14:28:29:084,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.3421,4.0068,683.6866,160.7687,683.6866,160.7687,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9604,6127864.7,14:28:29:104,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.3156,3.9827,686.3176,155.5909,686.3176,155.5909,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9605,6127884.565,14:28:29:123,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.2604,4.0379,689.3805,156.5760,689.3805,156.5760,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9606,6127904.563,14:28:29:143,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.2585,3.9647,685.3154,164.5041,685.3154,164.5041,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9607,6127924.43,14:28:29:163,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.2382,3.8097,692.1181,153.9884,692.1181,153.9884,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9608,6127944.308,14:28:29:183,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.1639,3.9042,681.1774,157.6433,681.1774,157.6433,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9609,6127966.429,14:28:29:205,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,1,1,4.1784,3.9493,689.3929,133.7770,689.3929,133.7770,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9610,6127984.054,14:28:29:223,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Saccade,Saccade,1,1,4.0616,3.8387,676.4287,169.1849,676.4287,169.1849,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9611,6128003.927,14:28:29:243,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,2,2,4.2079,3.9420,468.4888,465.6388,468.4888,465.6388,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9612,6128023.802,14:28:29:263,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,2,2,4.1873,3.9777,476.3803,522.6645,476.3803,522.6645,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9613,6128047.468,14:28:29:286,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,2,2,4.1929,3.8303,473.6042,532.4294,473.6042,532.4294,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
9614,6128063.569,14:28:29:302,Trial001,01vnvg151201b1.avi,0.0,48820.61,51,DarkCyan,87.9137,Eye,Fixation,Fixation,2,2,4.1329,3.9531,474.4311,529.3967,474.4311,529.3967,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
