Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
79168,999522.869,15:58:41:397,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a083ab3b4d7c6e63c12f3b51307da008.avi,,,,,,
79169,999536.93,15:58:41:411,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,27.3595,27.3595,5.6784,24.3513,24.3513,5.1415,607.4018,437.6454,622.5349,473.5423,-,-,0.0579,0.4489,-0.8917,-0.0044,0.415,-0.9098,17.0797,-52.2697,495.5734,-29.4341,-56.2208,491.1988,555.4425,753.9217,783.4059,776.2689,0,-,-,-,-,-,-,-,-,,,,,,
79170,999553.624,15:58:41:428,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,27.0164,27.0164,5.6608,24.2534,24.2534,5.1119,607.9904,427.0157,621.6378,469.9976,-,-,0.0557,0.4555,-0.8885,-0.0067,0.4142,-0.9101,18.1378,-51.8644,499.591,-28.7756,-55.8639,495.0887,551.097,749.8435,779.129,772.4598,0,-,-,-,-,-,-,-,-,,,,,,
79171,999570.319,15:58:41:444,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,27.0991,27.0991,5.6576,24.2881,24.2881,5.0947,606.61,422.1153,619.9333,462.7914,-,-,0.0482,0.4521,-0.8907,-0.0119,0.42,-0.9074,19.3379,-51.7501,503.6711,-27.9483,-55.8164,498.4747,546.2767,747.4376,774.3086,770.2978,0,-,-,-,-,-,-,-,-,,,,,,
79172,999587.013,15:58:41:461,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,27.0868,27.0868,5.6609,24.0714,24.0714,5.0775,606.9211,407.9809,618.8229,451.3693,-,-,0.0504,0.4621,-0.8854,-0.014,0.427,-0.9042,20.6362,-51.9554,506.7601,-26.9317,-56.0705,501.2625,540.6585,746.7104,768.7328,769.8896,0,-,-,-,-,-,-,-,-,,,,,,
79173,999603.708,15:58:41:478,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,26.9537,26.9537,5.6645,23.9834,23.9834,5.0649,606.3696,393.7463,617.8328,444.7402,-,-,0.0454,0.468,-0.8826,-0.0171,0.4273,-0.9039,22.1137,-52.4647,509.6554,-25.7433,-56.6275,504.0084,534.3879,747.6148,762.4373,771.1125,0,-,-,-,-,-,-,-,-,,,,,,
79174,999620.402,15:58:41:495,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,26.8056,26.8056,5.6667,23.9504,23.9504,5.0573,606.8595,393.2357,617.0808,438.5444,-,-,0.0463,0.4631,-0.8851,-0.02,0.4293,-0.9029,23.7043,-53.1918,511.9537,-24.3827,-57.3931,506.3312,527.3912,750.073,755.4863,773.4882,0,-,-,-,-,-,-,-,-,,,,,,
79175,999637.097,15:58:41:511,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,26.6236,26.6236,5.6677,23.6698,23.6698,5.0446,607.5868,378.2385,615.9897,426.0527,-,-,0.0452,0.4746,-0.879,-0.0251,0.4388,-0.8982,25.4837,-54.2145,514.8951,-22.8523,-58.3485,508.6495,519.7788,753.1818,747.8497,776.5563,0,-,-,-,-,-,-,-,-,,,,,,
79176,999653.791,15:58:41:528,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,26.7367,26.7367,5.6775,23.4419,23.4419,5.0304,607.4878,379.2972,614.6062,417.4873,-,-,0.0388,0.4686,-0.8826,-0.0307,0.4421,-0.8964,27.3898,-55.2816,517.0956,-21.1985,-59.3838,511.3445,511.595,757.2414,739.6431,779.9241,0,-,-,-,-,-,-,-,-,,,,,,
79177,999670.497,15:58:41:545,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,1,26.7942,26.7942,5.6931,23.3798,23.3798,5.0205,607.882,373.7808,613.2922,407.4551,-,-,0.0377,0.4719,-0.8808,-0.0354,0.4474,-0.8936,29.4463,-56.4264,519.6513,-19.3608,-60.4549,513.7183,502.7676,761.2249,730.6996,783.5435,0,-,-,-,-,-,-,-,-,,,,,,
79178,999687.203,15:58:41:561,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Saccade,1,1,26.5677,26.5677,5.6994,23.2678,23.2678,5.0097,607.829,368.8381,610.8786,401.3928,-,-,0.0312,0.4758,-0.879,-0.0413,0.4497,-0.8922,31.5417,-57.3544,520.5109,-17.3756,-61.2847,514.7689,493.4906,764.9908,721.3951,786.7938,0,-,-,-,-,-,-,-,-,,,,,,
79179,999703.908,15:58:41:578,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,1,2,26.6089,26.6089,5.7105,23.3253,23.3253,5.0069,607.9786,366.1008,609.7193,396.6058,-,-,0.0285,0.4756,-0.8792,-0.0422,0.4507,-0.8917,33.7733,-58.2502,522.5855,-15.3474,-62.155,517.0227,483.8961,768.0935,711.6474,789.5974,0,-,-,-,-,-,-,-,-,,,,,,
79180,999720.614,15:58:41:595,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Saccade,Fixation,1,2,26.3944,26.3944,5.7135,23.4083,23.4083,5.0088,608.7134,362.9298,609.9787,403.8321,-,-,0.0297,0.4774,-0.8782,-0.0389,0.44,-0.8972,35.9502,-58.8536,523.5075,-13.2704,-62.6002,517.6937,474.1764,770.3579,701.8594,791.5567,0,-,-,-,-,-,-,-,-,,,,,,
79181,999737.32,15:58:41:611,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,26.064,26.064,5.7064,23.0098,23.0098,4.9972,609.2917,356.1332,608.2621,397.2017,-,-,0.0255,0.4844,-0.8744,-0.0503,0.4463,-0.8934,38.134,-59.3559,525.0312,-11.236,-62.888,518.9209,464.7866,771.7241,692.5639,792.0627,0,-,-,-,-,-,-,-,-,,,,,,
79182,999754.025,15:58:41:628,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,26.1344,26.1344,5.7041,23.1759,23.1759,4.996,610.2523,358.3155,607.7336,397.2885,-,-,0.0202,0.4746,-0.8799,-0.0523,0.4423,-0.8953,40.2006,-59.5441,525.2903,-9.2565,-63.0159,520.1681,455.5494,772.6902,683.3563,792.0708,0,-,-,-,-,-,-,-,-,,,,,,
79183,999770.731,15:58:41:645,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,26.0317,26.0317,5.6995,23.0138,23.0138,4.9907,610.6904,352.8129,607.0565,391.5132,-,-,0.0165,0.4822,-0.8759,-0.0564,0.4492,-0.8916,42.2398,-59.6802,525.8734,-7.3424,-62.9538,521.3779,446.5475,772.8377,674.5386,790.962,0,-,-,-,-,-,-,-,-,,,,,,
79184,999787.436,15:58:41:662,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.8527,25.8527,5.6928,23.2034,23.2034,4.9942,612.7135,348.1827,607.4723,391.3189,-,-,0.0192,0.4848,-0.8744,-0.0551,0.4433,-0.8947,44.3135,-59.8592,527.7534,-5.4654,-62.7442,521.8139,437.7614,772.6499,665.8546,789.907,0,-,-,-,-,-,-,-,-,,,,,,
79185,999804.142,15:58:41:678,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.9923,25.9923,5.6937,22.8162,22.8162,4.9844,612.8793,347.6032,607.7463,387.8216,-,-,0.0103,0.4787,-0.8779,-0.0583,0.4478,-0.8923,46.2557,-59.8819,528.1816,-3.6694,-62.5732,523.1584,429.3029,772.6848,657.6251,788.293,0,-,-,-,-,-,-,-,-,,,,,,
79186,999820.848,15:58:41:695,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.7254,25.7254,5.6854,22.718,22.718,4.974,613.9806,342.5234,608.8859,385.0203,-,-,0.0113,0.4867,-0.8735,-0.0588,0.4492,-0.8915,48.1102,-59.9712,528.782,-1.9199,-62.4692,524.1082,421.1194,772.6003,649.5998,787.2769,0,-,-,-,-,-,-,-,-,,,,,,
79187,999837.553,15:58:41:712,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.81,25.81,5.6841,22.9845,22.9845,4.9761,615.5187,341.1388,609.3329,383.2988,-,-,0.0092,0.4824,-0.8759,-0.0656,0.4477,-0.8918,49.9378,-60.1781,529.7529,-0.2074,-62.3977,524.2898,413.2946,773.1576,641.9151,786.8882,0,-,-,-,-,-,-,-,-,,,,,,
79188,999854.259,15:58:41:728,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.7598,25.7598,5.6822,22.7077,22.7077,4.9673,617.7198,336.4055,610.7183,379.9992,-,-,0.0103,0.4891,-0.8722,-0.0658,0.4536,-0.8888,51.6194,-60.445,530.1611,1.398,-62.4306,524.4824,405.8496,773.9999,634.5786,786.7955,0,-,-,-,-,-,-,-,-,,,,,,
79189,999870.965,15:58:41:745,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,,
79190,999887.67,15:58:41:762,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.7704,25.7704,5.6824,22.9851,22.9851,4.9721,618.5451,335.5171,611.9476,379.071,-,-,-0.0002,0.4848,-0.8746,-0.072,0.4505,-0.8899,54.7381,-61.2241,530.4877,4.3948,-62.9061,525.0981,392.1279,777.4629,621.0381,788.7144,0,-,-,-,-,-,-,-,-,,,,,,
79191,999904.376,15:58:41:779,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.8253,25.8253,5.6856,22.9185,22.9185,4.9741,621.2119,333.7307,613.8803,379.2582,-,-,0.0037,0.4852,-0.8744,-0.0698,0.4471,-0.8917,56.1524,-61.6874,530.7947,5.7446,-63.2579,525.4963,385.798,779.3892,614.8435,790.1892,0,-,-,-,-,-,-,-,-,,,,,,
79192,999921.081,15:58:41:795,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.8693,25.8693,5.6914,22.9119,22.9119,4.9765,622.8286,331.5989,613.491,375.9114,-,-,0.0013,0.4871,-0.8733,-0.0777,0.4525,-0.8884,57.5645,-62.1468,531.304,7.0717,-63.6675,525.996,379.7269,781.1578,608.9932,791.6591,0,-,-,-,-,-,-,-,-,,,,,,
79193,999937.787,15:58:41:812,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.7233,25.7233,5.6909,22.7183,22.7183,4.9707,624.6165,330.698,614.8386,374.5497,-,-,-0.0004,0.4872,-0.8733,-0.0774,0.4517,-0.8888,58.8893,-62.4791,531.46,8.2967,-63.9496,525.8449,373.8662,782.5764,603.391,793.0468,0,-,-,-,-,-,-,-,-,,,,,,
79194,999954.493,15:58:41:829,Trial018,VNVD151207.avi,0.0,49113.639,31,MediumSlateBlue,85.6517,Eye,Fixation,Fixation,2,2,25.6828,25.6828,5.6904,22.8524,22.8524,4.971,624.8072,328.6533,616.4298,373.3834,-,-,-0.0085,0.4879,-0.8728,-0.0767,0.4502,-0.8896,60.2513,-62.7191,532.0556,9.4929,-64.1866,525.71,368.2093,783.3338,597.9098,794.2357,0,-,-,-,-,-,-,-,-,,,,,,
