Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,groupe d'enfants,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm]
3930,600763.65,13:34:04:389,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a472879567707c4a62d8221944b6200c.avi,,,,,,,
3931,600773.014,13:34:04:398,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,431.4751,990.8706,467.4216,973.8106,-,-,-,-,-,-,-,-,-0.0531,0.0931,-0.9942,-0.0625,0.0775,-0.995,2.8809,-19.2396,515.4614,-53.8251,-23.5474,518.842,627.2845,598.9934,889.9331,618.6985,0,-,-,-,-,-,-,-,-,,,,,,,
3932,600790.03,13:34:04:415,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,428.5415,985.6093,463.9629,975.9149,-,-,-,-,-,-,-,-,-0.0602,0.1022,-0.9929,-0.0692,0.0712,-0.9951,2.7284,-19.3237,514.927,-53.9989,-23.696,519.3804,628.1438,599.2715,890.6271,619.4151,0,-,-,-,-,-,-,-,-,,,,,,,
3933,600807.046,13:34:04:432,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,431.2761,984.9461,462.6294,976.8061,-,-,-,-,-,-,-,-,-0.054,0.1012,-0.9934,-0.0682,0.0718,-0.9951,2.5744,-19.3979,514.8182,-54.2102,-23.8711,520.0315,628.7193,599.6582,891.2621,620.0738,0,-,-,-,-,-,-,-,-,,,,,,,
3934,600824.062,13:34:04:449,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,430.1174,983.6296,464.0446,975.7534,-,-,-,-,-,-,-,-,-0.0578,0.1025,-0.9931,-0.0611,0.0777,-0.9951,2.4043,-19.5357,514.7365,-54.389,-24.0495,520.1217,629.5971,600.2846,891.8843,620.746,0,-,-,-,-,-,-,-,-,,,,,,,
3935,600841.079,13:34:04:466,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,429.3151,983.8513,462.3739,976.6806,-,-,-,-,-,-,-,-,-0.0595,0.1006,-0.9931,-0.0658,0.0732,-0.9951,2.2108,-19.6458,514.5765,-54.5825,-24.2585,520.8386,630.5358,600.8693,892.5298,621.6578,0,-,-,-,-,-,-,-,-,,,,,,,
3936,600858.095,13:34:04:483,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,371.9509,1048.6775,380.3441,1049.7868,-,-,-,-,-,-,-,-,-0.1003,0.0589,-0.9932,-0.1161,0.0275,-0.9929,1.8202,-19.9745,514.1422,-54.9444,-24.6674,521.5391,633.2789,603.4276,894.9779,624.4122,0,-,-,-,-,-,-,-,-,,,,,,,
3937,600875.111,13:34:04:500,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,0,0,0,0,-,-,-,-,-,-,-,-,-0.1591,0.0178,-0.9871,-0.1624,-0.0118,-0.9867,1.2964,-20.3455,514.7421,-55.5122,-25.076,523.377,637.0641,605.9766,897.7032,626.7597,0,-,-,-,-,-,-,-,-,,,,,,,
3938,600892.127,13:34:04:517,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,0,0,313.2948,1108.3082,-,-,-,-,-,-,-,-,-0.1516,0.0237,-0.9882,-0.1516,-0.0026,-0.9884,1.1367,-20.4432,515.1473,-55.805,-25.2456,524.4188,637.6401,606.2242,898.2877,627.1014,0,-,-,-,-,-,-,-,-,,,,,,,
3939,600909.143,13:34:04:534,Trial020,01 neutre22.avi,0.0,16421.955,24,DarkBlue,56.4285,Eye,-,Saccade,-,1,0,0,0,0,-,-,-,-,-,-,-,-,-0.1554,0.0074,-0.9878,-0.1641,-0.0169,-0.9863,0.9762,-20.5484,515.5177,-56.0387,-25.4134,525.0869,638.4752,607.0136,899.2983,628.0361,0,-,-,-,-,-,-,-,-,,,,,,,
